gene	cluster	avg_log2FC	pct.1	pct.2	pct_diff	p_val	p_val_adj
Cdh13	5	1.53071824658932	0.925	0.486	0.439	4.26927893226021e-259	1.37833670328021e-254
Pou6f2	5	1.20735247965139	0.756	0.251	0.505	1.27825601474664e-265	4.12684954360951e-261
Col25a1	5	1.1234546434401	0.798	0.365	0.433	1.13108322549016e-174	3.65170219349498e-170
Cntnap5c	5	1.05932568503393	0.872	0.434	0.438	9.60032867876086e-172	3.09946611393794e-167
Nell1	5	1.0300638274785	0.363	0.073	0.29	4.98054622605393e-161	1.60796934908151e-156
Nwd2	5	0.964931583554376	0.891	0.587	0.304	7.42241267427294e-133	2.39632593188902e-128
Edil3	5	0.954961059059981	0.864	0.53	0.334	2.73171234482911e-124	8.81933330528077e-120
Kcnip1	5	0.896147459498036	0.409	0.117	0.292	1.13331965544915e-124	3.65892250761759e-120
Slit3	5	0.755497288334122	0.769	0.495	0.274	1.43533445904354e-86	4.63397730102205e-82
Cdh8	5	0.739477436941344	0.906	0.58	0.326	1.84830214854982e-107	5.96724348659309e-103
Atrnl1	5	0.728303013390854	0.909	0.786	0.123	3.51768660017776e-98	1.13568511886739e-93
Hs3st5	5	0.675386509682447	0.892	0.627	0.265	1.01648704884184e-83	3.28172843718587e-79
Pdzrn4	5	0.62809503002754	0.813	0.552	0.261	2.67720288337684e-69	8.64334950898212e-65
Pcdh11x	5	0.601872160014751	0.969	0.843	0.126	1.28326526839905e-78	4.14302191902634e-74
Lhfp	5	0.598585449295836	0.86	0.717	0.143	1.26092768124903e-56	4.0709050189125e-52
Dach1	5	0.553897490183349	0.815	0.593	0.222	2.05839165024307e-59	6.64551744280974e-55
Il1rap	5	0.552678409861785	0.864	0.695	0.169	3.18374665839723e-68	1.02787260866355e-63
Clybl	5	0.55245188552225	0.636	0.457	0.179	9.21559610641298e-46	2.97525520295543e-41
Ctnna3	5	0.541318058140686	0.945	0.824	0.121	1.0292540670908e-52	3.32294675560263e-48
