gene	cluster	avg_log2FC	pct.1	pct.2	pct_diff	p_val	p_val_adj
Nrg1	10	2.5907883746392	0.839	0.334	0.505	1.16206209875577e-98	3.75171748583301e-94
Alcam	10	2.20262746222199	0.953	0.354	0.599	4.47446602304688e-141	1.44458135554069e-136
Kctd16	10	2.1892857761451	0.932	0.266	0.666	1.78774535259839e-141	5.77173587086392e-137
Sgcz	10	2.00661367782307	0.993	0.595	0.398	2.7403625618373e-112	8.84726053089172e-108
Npas3	10	1.97069490142367	0.968	0.802	0.166	1.96725578335081e-101	6.35128529654808e-97
Tafa1	10	1.76019460915816	0.935	0.311	0.624	5.63426100374441e-107	1.81902116505888e-102
Csmd1	10	1.7154236072522	1	0.813	0.187	1.18848108525612e-109	3.83701118374937e-105
Unc13c	10	1.69326295307822	0.903	0.328	0.575	3.36822875473996e-100	1.08743265346779e-95
Gpc5	10	1.69259885901119	0.62	0.198	0.422	1.91047513903797e-60	6.16796898638409e-56
Pex5l	10	1.65275724065589	0.878	0.383	0.495	1.27102068430764e-97	4.10349027928723e-93
Cdh13	10	1.63877861088873	0.971	0.567	0.404	1.09259381539251e-99	3.52743913299472e-95
Lrp1b	10	1.6270555416742	0.978	0.617	0.361	5.16690646352922e-82	1.66813575175041e-77
Shroom3	10	1.58338807791421	0.781	0.335	0.446	2.4711051706386e-75	7.97796304340671e-71
Ano1	10	1.54769595516875	0.667	0.039	0.628	7.6403318133957e-195	2.4666811259548e-190
Gm20754	10	1.52140443243481	0.72	0.272	0.448	6.68272036898671e-67	2.15751627112736e-62
Rmst	10	1.49102189117213	0.993	0.661	0.332	2.63603286224775e-88	8.51043209576685e-84
Pdzrn4	10	1.39123717851915	0.989	0.738	0.251	1.16869727501103e-86	3.7731391523731e-82
Plcb4	10	1.38989556946721	0.914	0.686	0.228	2.67450824617729e-73	8.63464987278339e-69
Auts2	10	1.38405456361489	0.781	0.445	0.336	6.96260799159573e-51	2.24787799008668e-46
Thsd7b	10	1.38360336765874	0.882	0.574	0.308	3.59593860181371e-62	1.16094877759556e-57
Cpne8	10	1.36535843211867	0.789	0.263	0.526	1.93224917842456e-90	6.2382664725437e-86
Zfp536	10	1.35657133303891	0.724	0.265	0.459	3.62556445304251e-74	1.17051348366477e-69
4930555F03Rik	10	1.30089786509325	0.892	0.664	0.228	1.98072405617368e-54	6.39476761535674e-50
Brinp1	10	1.2467467535282	0.935	0.671	0.264	1.70960158590427e-74	5.51944872009194e-70
4930509J09Rik	10	1.24431760313316	0.57	0.181	0.389	4.3150223817068e-55	1.39310497593404e-50
C130073E24Rik	10	1.24169710584094	0.939	0.745	0.194	2.53051135944147e-69	8.1697559239568e-65
Sdk1	10	1.23140357612812	0.878	0.394	0.484	1.16246207335072e-70	3.7530088038128e-66
Cdh20	10	1.22444739302824	0.767	0.31	0.457	3.14155543826415e-60	1.01425117324358e-55
Plcb1	10	1.21801204014424	0.95	0.603	0.347	1.84716454949276e-61	5.96357074803739e-57
Caln1	10	1.17845769192473	0.875	0.411	0.464	4.29572612728775e-67	1.38687518019485e-62
Hcn1	10	1.17749366849686	0.724	0.434	0.29	4.04181162311138e-40	1.30489888252151e-35
Kcnj3	10	1.17299078102087	0.842	0.489	0.353	1.85729251363857e-57	5.99626888028211e-53
B230217J21Rik	10	1.17186317730114	0.645	0.244	0.401	1.12081745809007e-53	3.61855916344379e-49
Hs3st4	10	1.15381687891834	0.939	0.727	0.212	4.80917116024158e-57	1.55264090908399e-52
L3mbtl4	10	1.14008832861944	0.642	0.236	0.406	2.99815578368617e-59	9.67954594763081e-55
Il1rapl2	10	1.11348110561306	0.47	0.136	0.334	4.68665413131757e-42	1.51308628629588e-37
Nrp1	10	1.07367349509997	0.774	0.391	0.383	3.67485249879476e-55	1.18642612923589e-50
Ndst4	10	1.05796607529122	0.663	0.242	0.421	1.01359191530056e-57	3.27238149854786e-53
Pard3b	10	1.05586570954492	0.477	0.113	0.364	8.95958700159314e-58	2.89260266346435e-53
Tmtc2	10	1.03464748276026	0.832	0.555	0.277	2.2890451322931e-46	7.39018220960827e-42
Nova1	10	1.03290969812406	0.835	0.524	0.311	8.05104032805993e-53	2.59927836991415e-48
Tmem163	10	1.03255053667171	0.756	0.32	0.436	5.10691781794473e-52	1.64876841752346e-47
Klf12	10	0.993053926824619	0.889	0.742	0.147	1.6818276307854e-49	5.42978050599067e-45
Mpped2	10	0.987494612752597	0.616	0.246	0.37	1.68504867136008e-47	5.44017963548602e-43
Gm45321	10	0.985653628825236	0.76	0.515	0.245	6.54468971041164e-34	2.1129530730064e-29
Asic2	10	0.969831998564868	0.989	0.878	0.111	5.4309525221467e-48	1.75338302177506e-43
Sorcs1	10	0.95601674441553	0.935	0.597	0.338	2.37904166328495e-52	7.68073600991547e-48
4930419G24Rik	10	0.952788023266759	0.52	0.168	0.352	1.68274547675605e-48	5.4327437717069e-44
Gm28905	10	0.941880305512667	0.832	0.652	0.18	6.83088657997622e-38	2.20535173234532e-33
Gm2516	10	0.94043786039103	0.703	0.424	0.279	2.94926032690631e-35	9.52168696541703e-31
B3galt1	10	0.936780764190225	0.878	0.747	0.131	2.46731466715454e-38	7.96572540290844e-34
Prkcb	10	0.936365451511141	0.799	0.564	0.235	1.19304865494484e-40	3.85175758248943e-36
Olfm3	10	0.929620163147781	0.803	0.549	0.254	7.51093277453339e-40	2.42490464625811e-35
Carmil1	10	0.888105945759413	0.645	0.322	0.323	5.00082803372909e-41	1.61451733068944e-36
Frmpd4	10	0.880195206893309	0.799	0.583	0.216	1.10592088445281e-25	3.57046557545589e-21
Grik4	10	0.878711561093331	0.91	0.763	0.147	8.76686921399059e-48	2.83038372573686e-43
A830018L16Rik	10	0.871439270649991	0.351	0.091	0.26	4.36196945066497e-37	1.40826183714718e-32
Gm45323	10	0.846829887057238	0.638	0.399	0.239	7.70778158140859e-28	2.48845728355776e-23
Specc1	10	0.846165376159598	0.824	0.561	0.263	5.24924685952909e-40	1.69471934859897e-35
Tnr	10	0.83633796817727	0.595	0.3	0.295	1.89815093296206e-30	6.12818028706802e-26
Ptn	10	0.833059767135489	0.57	0.343	0.227	1.45931658051669e-26	4.71140358019814e-22
Hs6st2	10	0.818894348043303	0.462	0.11	0.352	1.18299861951619e-55	3.81931104310802e-51
Gm12239	10	0.801749056192475	0.323	0.076	0.247	1.16717085250598e-36	3.76821109731555e-32
Arhgap24	10	0.798671524382541	0.792	0.653	0.139	8.77632056944991e-29	2.8334350958469e-24
9630028H03Rik	10	0.794316138713726	0.545	0.3	0.245	5.15885741228007e-22	1.66553711555462e-17
Dpp10	10	0.792648749623569	0.986	0.847	0.139	1.16212483138662e-41	3.75192001813169e-37
Dlk1	10	0.791717308283132	0.387	0.075	0.312	5.89933158175439e-53	1.9045992011694e-48
Luzp2	10	0.788594186823532	0.394	0.2	0.194	4.23516832956115e-16	1.36732409519882e-11
Rgs17	10	0.787923034415397	0.771	0.548	0.223	3.35169097057019e-31	1.08209342984859e-26
Frmd5	10	0.784339359421856	0.95	0.743	0.207	1.81455838427504e-38	5.85830174363195e-34
Utrn	10	0.781604721444897	0.695	0.498	0.197	4.92629217806122e-27	1.59045342968706e-22
Pdcd7	10	0.777825753518243	0.778	0.591	0.187	1.44502962771377e-29	4.6652781530739e-25
Rgs6	10	0.774043852919966	0.523	0.237	0.286	1.91536096262103e-26	6.18374286782199e-22
Megf11	10	0.765107142477348	0.552	0.427	0.125	3.77580219697161e-12	1.21901773929228e-07
Slc6a1	10	0.748475837351022	0.588	0.3	0.288	5.03102345042298e-31	1.62426592096906e-26
Ripor2	10	0.747384879293164	0.477	0.174	0.303	6.99470074978995e-37	2.25823913706968e-32
Aff2	10	0.74298214672387	0.749	0.562	0.187	1.25166183956633e-26	4.0409902490399e-22
6330576A10Rik	10	0.742571174944712	0.362	0.077	0.285	2.99267930477759e-45	9.66186513547446e-41
Ndst3	10	0.742488817530729	0.344	0.114	0.23	6.76716617685734e-28	2.18477960019839e-23
Ankfn1	10	0.742145130824719	0.767	0.64	0.127	1.41267744040832e-20	4.56082911635826e-16
Cdh2	10	0.741943214667206	0.939	0.836	0.103	5.03928010097113e-36	1.62693158059853e-31
Cdh9	10	0.741883714980154	0.502	0.281	0.221	1.34061185098457e-20	4.3281653609037e-16
Kcnab1	10	0.732810431404644	0.548	0.332	0.216	2.53014306883493e-20	8.16856689773358e-16
4930517O19Rik	10	0.722548595715655	0.606	0.423	0.183	1.69492061029044e-18	5.47205119032267e-14
Gm32647	10	0.720054319423753	0.391	0.168	0.223	2.85788726841418e-19	9.22668904607517e-15
Btbd11	10	0.706937970538312	0.552	0.326	0.226	4.49048903790956e-22	1.4497543858891e-17
Chd7	10	0.702511485260968	0.401	0.141	0.26	8.5268909489969e-31	2.75290674288365e-26
Arhgef26	10	0.701715617490648	0.384	0.084	0.3	1.52160733603498e-47	4.91250928438892e-43
Fam135b	10	0.700693583590242	0.885	0.756	0.129	2.23584234872348e-33	7.21841702285376e-29
Rskr	10	0.695440690883437	0.412	0.132	0.28	1.45654970230378e-34	4.70247071388776e-30
Gpm6a	10	0.688844437060264	0.892	0.775	0.117	2.74529132514472e-31	8.86317304322974e-27
Adcy8	10	0.685412388772935	0.62	0.284	0.336	2.76456613278357e-30	8.92540175969175e-26
Gm43154	10	0.678050960586047	0.326	0.078	0.248	5.77234502504777e-36	1.86360159133667e-31
