p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.67450824617729e-73	1.38989556946721	0.914	0.686	8.63464987278339e-69	10	Plcb4
1.84716454949276e-61	1.21801204014424	0.95	0.603	5.96357074803739e-57	10	Plcb1
3.35169097057019e-31	0.787923034415397	0.771	0.548	1.08209342984859e-26	10	Rgs17
5.71358947576046e-28	-0.643636607111983	0.201	0.617	1.84463236224927e-23	10	Plce1
2.13671255392654e-16	0.661926624381397	0.495	0.284	6.89837648035182e-12	10	Adcy2
9.54970110702217e-11	-0.36988208384199	0.491	0.732	3.08312100240211e-06	10	Gnal
2.83647097180204e-10	0.272493175581474	0.172	0.066	9.15754653246288e-06	10	Rgs8
0.000202371111215201	0.0846954857272926	0.05	0.016	1	10	Rgs16
0.00417106455862021	0.14542115867123	0.849	0.882	1	10	Gnas
9.85377158356463e-76	0.999980847850617	0.95	0.572	3.18129015575384e-71	9	Plcb1
3.21807457566969e-48	0.751028708087922	0.813	0.517	1.03895537675496e-43	9	Rgs17
2.6799547161508e-47	0.763020590072672	0.603	0.235	8.65223380109284e-43	9	Adcy2
1.34648997243759e-37	0.562356675536049	0.947	0.859	4.34714287601476e-33	9	Gnas
2.4646918711749e-10	-0.382372377970097	0.428	0.592	7.95725770608817e-06	9	Plce1
9.4933927996107e-06	0.0920871110681936	0.134	0.067	0.306494186535431	9	Rgs8
0.000310846349829113	-0.188407833704876	0.634	0.715	1	9	Gnal
7.16014911516818e-27	0.514218373398756	0.613	0.266	2.31165414183205e-22	2	Adcy2
3.53423436297777e-16	0.390663693209202	0.926	0.609	1.14102756408737e-11	2	Plcb1
0.000820770192837371	0.0156232433079563	0.104	0.05	1	2	Rgs2
0.00107656587566239	0.00927132199550419	0.115	0.058	1	2	Rgs19
0.00134334879646492	-0.0174343796212009	0.792	0.546	1	2	Rgs17
3.05754826051989e-228	-2.06361444804426	0.371	0.943	9.87129455908847e-224	1	Plcb1
1.73620558980465e-137	-1.31957465730516	0.06	0.575	5.60533974668433e-133	1	Adcy2
6.23861390513768e-110	-1.07440381571314	0.371	0.795	2.0141364992737e-105	1	Rgs17
7.89239413388921e-41	-0.50555201098471	0.832	0.924	2.54805944612613e-36	1	Gnas
4.52908329596771e-31	-0.736745544506638	0.644	0.795	1.46221454210318e-26	1	Plcb4
8.01763642293436e-30	0.506955469625109	0.677	0.434	2.58849391914436e-25	1	Plce1
1.33337405702862e-13	-0.160395101861849	0.036	0.127	4.3047981431169e-09	1	Rgs8
1.82573485391304e-12	0.309347308021816	0.75	0.644	5.89438497585826e-08	1	Gnal
0.000183086672671175	-0.066602433172595	0.009	0.033	1	1	Rgs16
